timestamp_deteccion,connector_id,operator_name,estado_anterior,estado_nuevo,api_last_updated,power_type,max_electric_power,standard,location_name,operador_agrupado,tramo_potencia,commune,region
2026-09-03T23:48:57+00:00,712,ENEL X,FUERA DE LINEA,DISPONIBLE,2026-09-03T23:48:24.784061+00:00,DC,60,CCS 2,IRVE Espacio Urbano Maipú,Enel,(50-150],Maipú,Metropolitana,Enel,Enel
2026-09-03T23:48:57+00:00,10,COPEC VOLTEX,FUERA DE LINEA,DISPONIBLE,2026-09-03T23:48:04.739901+00:00,DC,50,CCS 2,COPEC Llay Llay,Copec Voltex,(22-50],Llaillay,Valparaíso,Copec Voltex,Copec Voltex
2026-09-03T23:48:57+00:00,8795,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-03T23:47:44.666609+00:00,DC,240,CCS 2,Cargador Electrico Copec Talca,Copec Voltex,150,Talca,Maule,Copec Voltex,Copec Voltex
2026-09-03T23:48:57+00:00,713,ENEL X,FUERA DE LINEA,DISPONIBLE,2026-09-03T23:48:24.784061+00:00,DC,60,CCS 2,IRVE Espacio Urbano Maipú,Enel,(50-150],Maipú,Metropolitana,Enel,Enel
2026-09-03T23:48:57+00:00,9379,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-03T23:47:34.037122+00:00,DC,180,CCS 2,COPEC VOLTEX EDS 60079 - COSTANERA NORTE KM 2,Copec Voltex,150,Vitacura,Metropolitana,Copec Voltex,Copec Voltex
2026-09-03T23:48:57+00:00,8112,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-03T23:47:48.515523+00:00,DC,180,CCS 2,COPEC VOLTEX EDS 20019 - PAICAVI,Copec Voltex,150,Concepción,Biobío,Copec Voltex,Copec Voltex
2026-09-03T23:49:58+00:00,12,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-03T23:49:17.052255+00:00,DC,50,CCS 2,COPEC Santo Domingo,Copec Voltex,(22-50],Santo Domingo,Valparaíso,Copec Voltex,Copec Voltex
2026-09-03T23:49:58+00:00,8661,Enerlink Chile SpA,OCUPADO,DISPONIBLE,2026-09-03T21:14:27.060612+00:00,DC,50,CCS 2,Shell Placilla,Enerlink,(22-50],Valparaíso,Valparaíso,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-03T23:49:58+00:00,9055,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-03T23:48:36.640072+00:00,DC,180,CCS 2,Voltex EDS60987 - Tobalaba,Copec Voltex,150,Penalolén,Metropolitana,Copec Voltex,Copec Voltex
2026-09-03T23:49:58+00:00,1156,ENEL X,OCUPADO,DISPONIBLE,2026-09-03T23:48:50.207153+00:00,AC,7.4,Tipo 2,Enel X Way-Arauco Buenaventura.,Enel,7,Quilicura,Metropolitana,Enel,Enel
2026-09-03T23:49:58+00:00,1018,ENEL X,OCUPADO,DISPONIBLE,2026-09-03T23:48:53.182115+00:00,AC,22,Tipo 2,Enel X Way-Parque Araucano.,Enel,(7-22],Las Condes,Metropolitana,Enel,Enel
2026-09-03T23:49:58+00:00,1818,Enerlink Chile SpA,DISPONIBLE,NO DISPONIBLE,2026-09-03T23:49:16.852401+00:00,DC,120,CCS 2,Enex E-Pro Shell Quilicura,Enerlink,(50-150],Quilicura,Metropolitana,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-03T23:49:58+00:00,13,COPEC VOLTEX,DISPONIBLE,FUERA DE LINEA,2026-09-03T23:49:17.052255+00:00,DC,50,CHAdeMO,COPEC Santo Domingo,Copec Voltex,(22-50],Santo Domingo,Valparaíso,Copec Voltex,Copec Voltex
2026-09-03T23:50:54+00:00,1820,Enerlink Chile SpA,OCUPADO,NO DISPONIBLE,2026-09-03T23:49:48.844309+00:00,DC,120,CCS 2,Enex E-Pro Shell Quilicura,Enerlink,(50-150],Quilicura,Metropolitana,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-03T23:50:54+00:00,8734,Enerlink Chile SpA,DISPONIBLE,OCUPADO,2026-09-03T23:49:39.841212+00:00,DC,70,GB/T DC,Cargador publico Enex File 130,Enerlink,(50-150],Recoleta,Metropolitana,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-03T23:50:54+00:00,1324,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-03T23:50:00.191959+00:00,AC,22,Tipo 2,CENTRO EDUCACIONAL HUECHURABA,Copec Voltex,(7-22],Huechuraba,Metropolitana,Copec Voltex,Copec Voltex
